,Q(t+1),Q(t+1)truth
0,108.50353240966797,88.80000305175781
1,108.50353240966797,87.0199966430664
2,108.50353240966797,85.2300033569336
3,108.50353240966797,83.44999694824219
4,108.50353240966797,81.66000366210938
5,108.50353240966797,79.87999725341797
6,108.50353240966797,78.0999984741211
7,108.50353240966797,76.86000061035156
8,108.50353240966797,75.62000274658203
9,108.50353240966797,74.37999725341797
10,108.50353240966797,73.1500015258789
11,108.50353240966797,71.91000366210938
12,108.50353240966797,70.66999816894531
13,108.50353240966797,69.43000030517578
14,108.50353240966797,68.19999694824219
15,108.50353240966797,66.95999908447266
16,108.50353240966797,65.72000122070312
17,108.50353240966797,64.4800033569336
18,108.50353240966797,63.25
19,108.50353240966797,62.0099983215332
20,108.50353240966797,60.77000045776367
21,108.50353240966797,59.529998779296875
22,108.50353240966797,58.29999923706055
23,108.50353240966797,52.349998474121094
24,108.50353240966797,46.400001525878906
25,108.50353240966797,51.93000030517578
26,108.50353240966797,53.7400016784668
27,108.50353240966797,51.81999969482422
28,108.50353240966797,49.90999984741211
29,108.50353240966797,48.0
30,108.50353240966797,48.0
31,108.50353240966797,47.31999969482422
32,108.50353240966797,46.650001525878906
33,108.50353240966797,45.97999954223633
34,108.50353240966797,45.310001373291016
35,108.50353240966797,44.63999938964844
36,108.50353240966797,43.970001220703125
37,108.50353240966797,43.29999923706055
38,108.50353240966797,43.29999923706055
39,108.50353240966797,43.29999923706055
